asin	fnsku	product_name	fulfillment_center	country_code	longest_side	median_side	shortest_side	measurement_units	weight	weight_units	item_volume	volume_units	product_size_tier	average_quantity_on_hand	average_quantity_pending_removal	estimated_total_item_volume	month_of_charge	storage_utilization_ratio	storage_utilization_ratio_units	base_rate	utilization_surcharge_rate	avg_qty_for_sus	est_vol_for_sus	est_base_msf	est_sus	currency	estimated_monthly_storage_fee	dangerous_goods_storage_type	eligible_for_inventory_discount	qualifies_for_inventory_discount	total_incentive_fee_amount	breakdown_incentive_fee_amount	average_quantity_customer_orders
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	ABE2	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	34.35	0.0	0.1856	2025-01	5.9	weeks	0.78	0.0	34.29	0.1856	0.14	0.0	USD	0.14	--	N	N	0.0	--	0.06
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	ACY1	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	10.68	0.0	0.0561	2025-01	5.9	weeks	0.78	0.0	10.35	0.0561	0.04	0.0	USD	0.04	--	N	N	0.0	--	0.32
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	AFW1	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	0.19	0.0	9.0E-4	2025-01	5.9	weeks	0.78	0.0	0.16	9.0E-4	0.0	0.0	USD	0.0	--	N	N	0.0	--	0.03
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	AGS1	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	1.52	0.0	0.008	2025-01	5.9	weeks	0.78	0.0	1.48	0.008	0.01	0.0	USD	0.01	--	N	N	0.0	--	0.03
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	AGS2	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	0.06	0.0	2.0E-4	2025-01	5.9	weeks	0.78	0.0	0.03	2.0E-4	0.0	0.0	USD	0.0	--	N	N	0.0	--	0.03
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	AKC1	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	0.29	0.0	7.0E-4	2025-01	5.9	weeks	0.78	0.0	0.13	7.0E-4	0.0	0.0	USD	0.0	--	N	N	0.0	--	0.16
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	ATL2	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	12.03	0.0	0.0611	2025-01	5.9	weeks	0.78	0.0	11.29	0.0611	0.05	0.0	USD	0.05	--	N	N	0.0	--	0.77
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	AUS2	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	0.32	0.0	0.0012	2025-01	5.9	weeks	0.78	0.0	0.23	0.0012	0.0	0.0	USD	0.0	--	N	N	0.0	--	0.13
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	AUS3	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	0.13	0.0	5.0E-4	2025-01	5.9	weeks	0.78	0.0	0.1	5.0E-4	0.0	0.0	USD	0.0	--	N	N	0.0	--	0.03
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	AVP1	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	6.19	0.0	0.0335	2025-01	5.9	weeks	0.78	0.0	6.19	0.0335	0.03	0.0	USD	0.03	--	N	N	0.0	--	0.0
